# taille de la grille
X 1024
Y 1024
# position des obstacles
# Xmin Xmax Ymin Ymax
# si pas obstacle : mettre -1 comme valeur
# 16 obstacles
16 53 11 61
60 92 238 331
108 175 286 267
153 166 302 429
202 248 263 205
252 281 272 313
302 380 470 372
355 365 353 597
402 423 473 615
454 511 496 642
501 562 572 508
554 564 733 554
603 674 684 751
653 722 691 712
705 741 701 911
755 841 854 844
# position initiale des personnes (X, Y) et case de sortie (X, Y)
# 1024 personnes
584 694 0 0
225 194 1023 1023
899 195 0 0
215 116 1023 1023
924 498 0 0
13 465 0 1023
653 671 1023 0
393 684 1023 1023
623 779 1023 1023
761 880 1023 0
21 429 1023 1023
142 266 0 0
160 581 0 1023
132 822 1023 1023
922 747 1023 1023
1001 885 1023 1023
208 175 1023 0
149 739 0 0
913 994 0 1023
986 463 0 1023
744 601 0 0
756 882 1023 1023
53 660 0 0
628 801 1023 1023
480 912 1023 1023
118 497 0 0
629 171 1023 0
401 240 1023 0
741 203 1023 1023
1003 510 0 1023
313 350 0 1023
373 339 1023 0
820 569 1023 1023
629 126 1023 0
575 663 0 0
638 368 0 1023
431 21 1023 0
82 593 1023 0
110 25 0 0
918 301 0 1023
661 615 0 1023
618 1013 0 0
437 165 0 1023
613 96 0 1023
1018 721 0 0
902 832 1023 0
899 7 0 0
213 178 1023 1023
436 49 0 0
820 690 0 0
58 26 0 1023
745 599 0 0
954 304 0 1023
783 827 1023 0
628 301 0 1023
17 453 1023 0
212 940 0 1023
599 676 0 0
731 415 1023 1023
1019 401 1023 0
561 884 1023 0
574 403 0 1023
226 537 0 1023
65 474 1023 0
32 668 0 0
981 923 0 1023
764 613 0 0
674 101 0 1023
323 515 0 0
344 905 0 0
898 184 0 1023
581 419 1023 1023
171 815 1023 0
478 721 0 0
277 384 0 0
621 90 1023 1023
313 282 0 0
789 233 0 1023
1008 139 0 0
910 448 1023 1023
538 57 0 1023
93 502 0 0
491 677 0 1023
74 1003 1023 0
695 914 0 0
258 760 1023 0
437 762 0 0
360 198 0 1023
971 133 0 0
361 150 0 1023
352 483 0 0
592 75 1023 1023
389 521 0 1023
544 932 0 1023
321 954 0 1023
769 239 0 1023
222 841 1023 1023
689 767 1023 1023
412 143 0 0
455 111 1023 1023
23 593 0 1023
221 952 1023 1023
376 496 0 1023
195 987 0 0
274 161 1023 1023
781 814 1023 0
424 98 1023 1023
299 110 1023 0
743 29 1023 1023
683 72 1023 0
244 671 0 0
100 997 0 1023
718 921 0 1023
16 251 1023 0
605 278 0 1023
532 100 0 0
